,SPY (equities),USO (oil)
5/27/2015,212.7,19.48
5/28/2015,212.46,19.56
5/29/2015,211.14,20.31
6/1/2015,211.57,20.36
6/2/2015,211.36,20.68
6/3/2015,211.92,20.17
6/4/2015,210.13,19.66
6/5/2015,209.77,19.9
6/8/2015,208.48,19.71
6/9/2015,208.45,20.21
6/10/2015,210.95,20.64
6/11/2015,211.63,20.49
6/12/2015,210.01,20.27
6/15/2015,209.11,20.15
6/16/2015,210.25,20.26
6/17/2015,210.59,20.21
6/18/2015,212.78,20.36
6/19/2015,210.81,20.02
6/22/2015,211.89,20.16
6/23/2015,212.04,20.47
6/24/2015,210.5,20.21
6/25/2015,209.86,19.98
6/26/2015,209.82,19.98
6/29/2015,205.42,19.51
6/30/2015,205.85,19.88
7/1/2015,207.5,19.1
7/2/2015,207.31,18.93
7/6/2015,206.72,17.73
7/7/2015,208.02,17.76
7/8/2015,204.53,17.38
7/9/2015,204.9,17.71
7/10/2015,207.48,17.67
7/13/2015,209.77,17.51
7/14/2015,210.68,17.72
7/15/2015,210.61,17.23
7/16/2015,212.3,17.05
7/17/2015,212.48,16.99
7/20/2015,212.59,16.69
7/21/2015,211.75,16.91
7/22/2015,211.37,16.34
7/23/2015,210.18,16.14
7/24/2015,208,16.03
7/27/2015,206.79,15.65
7/28/2015,209.33,15.85
7/29/2015,210.77,16.24
7/30/2015,210.82,16.1
7/31/2015,210.5,15.59
8/3/2015,209.79,15.1
8/4/2015,209.38,15.22
8/5/2015,210.07,15.03
8/6/2015,208.35,14.87
8/7/2015,207.95,14.56
8/10/2015,210.57,14.89
8/11/2015,208.67,14.49
8/12/2015,208.92,14.44
8/13/2015,208.66,14.09
8/14/2015,209.42,13.99
8/17/2015,210.59,13.89
8/18/2015,209.98,14.05
8/19/2015,208.32,13.43
8/20/2015,203.97,13.37
8/21/2015,197.83,13.23
8/24/2015,189.5,12.49
8/25/2015,187.27,12.73
8/26/2015,194.46,12.77
8/27/2015,199.27,13.95
8/28/2015,199.28,14.88
8/31/2015,197.67,15.89
9/1/2015,191.77,14.81
9/2/2015,195.41,15.09
9/3/2015,195.55,15.34
9/4/2015,192.59,15.08
9/8/2015,197.43,15.02
9/9/2015,194.79,14.51
9/10/2015,195.85,14.93
9/11/2015,196.74,14.65
9/14/2015,196.01,14.39
9/15/2015,198.46,14.57
9/16/2015,200.18,15.36
9/17/2015,199.73,15.23
9/18/2015,195.45,14.62
9/21/2015,196.46,15.05
9/22/2015,193.91,14.92
9/23/2015,193.6,14.44
9/24/2015,192.9,14.59
9/25/2015,192.85,14.72
9/28/2015,188.01,14.38
9/29/2015,188.12,14.61
9/30/2015,191.63,14.68
10/1/2015,192.13,14.58
10/2/2015,195,14.77
10/5/2015,198.47,15
10/6/2015,197.79,15.74
10/7/2015,199.41,15.57
10/8/2015,201.21,16.04
10/9/2015,201.33,15.99
10/12/2015,201.52,15.31
10/13/2015,200.25,15.06
10/14/2015,199.29,15.05
10/15/2015,202.35,15.13
10/16/2015,203.27,15.22
10/19/2015,203.37,14.83
10/20/2015,203.11,14.73
10/21/2015,201.85,14.43
10/22/2015,205.26,14.51
10/23/2015,207.51,14.27
10/26/2015,207,14.01
10/27/2015,206.6,13.82
10/28/2015,208.95,14.69
10/29/2015,208.83,14.63
10/30/2015,207.93,14.81
11/2/2015,210.39,14.75
11/3/2015,211,15.28
11/4/2015,210.36,14.85
11/5/2015,210.15,14.48
11/6/2015,210.04,14.23
11/9/2015,208.08,14.08
11/10/2015,208.56,14.09
11/11/2015,207.74,13.76
11/12/2015,204.84,13.35
11/13/2015,202.54,13.06
11/16/2015,205.62,13.39
11/17/2015,205.47,13.01
11/18/2015,208.73,13.05
11/19/2015,208.55,12.96
11/20/2015,209.31,12.93
11/23/2015,209.07,13.02
11/24/2015,209.35,13.32
11/25/2015,209.32,13.39
11/27/2015,209.56,13.03
11/30/2015,208.69,12.93
12/1/2015,210.68,12.95
12/2/2015,208.53,12.48
12/3/2015,205.61,12.77
12/4/2015,209.62,12.46
12/7/2015,208.35,11.72
12/8/2015,206.95,11.68
12/9/2015,205.34,11.56
12/10/2015,205.87,11.37
12/11/2015,201.88,11.07
12/14/2015,202.9,11.16
12/15/2015,205.03,11.4
12/16/2015,208.03,10.99
12/17/2015,204.86,10.74
12/18/2015,200.02,10.66
12/21/2015,201.67,10.66
12/22/2015,203.5,10.77
12/23/2015,206.02,11.26
12/24/2015,205.68,11.3
12/28/2015,205.21,10.93
12/29/2015,207.4,11.26
12/30/2015,205.93,10.93
12/31/2015,203.87,11
1/4/2016,201.02,10.98
1/5/2016,201.36,10.66
1/6/2016,198.82,10.11
1/7/2016,194.05,9.9
1/8/2016,191.92,9.8
1/11/2016,192.11,9.25
1/12/2016,193.66,9.17
1/13/2016,188.83,9.09
1/14/2016,191.93,9.23
1/15/2016,187.81,8.79
1/19/2016,188.06,8.49
1/20/2016,185.65,8.24
1/21/2016,186.69,8.56
1/22/2016,190.52,9.27
1/25/2016,187.64,8.54
1/26/2016,190.2,8.97
1/27/2016,188.13,9.18
1/28/2016,189.11,9.7
1/29/2016,193.72,9.65
2/1/2016,193.65,9.02
2/2/2016,190.16,8.57
2/3/2016,191.3,9.34
2/4/2016,191.6,9.12
2/5/2016,187.95,8.91
2/8/2016,185.42,8.64
2/9/2016,185.43,8.18
2/10/2016,185.27,7.96
2/11/2016,182.86,7.99
2/12/2016,186.63,8.33
2/16/2016,189.78,8.31
2/17/2016,192.88,8.78
2/18/2016,192.09,8.66
2/19/2016,192,8.55
2/22/2016,194.78,8.91
2/23/2016,192.32,8.48
2/24/2016,193.2,8.59
2/25/2016,195.54,8.8
2/26/2016,195.09,8.78
2/29/2016,193.56,9
3/1/2016,198.11,9.15
3/2/2016,199,9.3
3/3/2016,199.78,9.25
3/4/2016,200.43,9.65
3/7/2016,200.59,10.11
3/8/2016,198.4,9.65
3/9/2016,199.38,10.15
3/10/2016,199.54,10.04
3/11/2016,202.76,10.19
3/14/2016,202.5,9.88
3/15/2016,202.17,9.7
3/16/2016,203.34,10.18
3/17/2016,204.63,10.55
3/18/2016,204.38,10.48
3/21/2016,204.67,10.59
3/22/2016,204.56,10.54
3/23/2016,203.21,10.11
3/24/2016,203.12,10.06
3/28/2016,203.24,10.01
3/29/2016,205.12,9.8
3/30/2016,206.02,9.73
3/31/2016,205.52,9.7
4/1/2016,206.92,9.33
4/4/2016,206.25,9.08
4/5/2016,204.19,9.13
4/6/2016,206.42,9.6
4/7/2016,203.95,9.51
4/8/2016,204.5,10.03
4/11/2016,204.02,10.28
4/12/2016,205.92,10.64
4/13/2016,208,10.51
4/14/2016,208.01,10.48
4/15/2016,207.78,10.25
4/18/2016,209.24,10.17
4/19/2016,209.9,10.44
4/20/2016,210.1,10.76
4/21/2016,208.97,10.72
4/22/2016,208.97,10.76
4/25/2016,208.61,10.55
4/26/2016,208.92,10.81
4/27/2016,209.35,11.14
4/28/2016,207.45,11.22
4/29/2016,206.33,11.3
5/2/2016,207.97,11.05
5/3/2016,206.16,10.74
5/4/2016,205.01,10.79
5/5/2016,204.97,10.9
5/6/2016,205.72,10.96
5/9/2016,205.89,10.68
5/10/2016,208.45,10.99
5/11/2016,206.5,11.34
5/12/2016,206.56,11.45
5/13/2016,204.76,11.37
5/16/2016,206.78,11.76
5/17/2016,204.85,11.92
5/18/2016,204.91,11.7
5/19/2016,204.2,11.79
5/20/2016,205.49,11.75
5/23/2016,205.21,11.66
5/24/2016,207.87,11.82
5/25/2016,209.28,12.03
5/26/2016,209.34,11.95
5/27/2016,210.24,11.98
5/31/2016,209.84,11.87
6/1/2016,210.27,11.93
6/2/2016,210.91,11.86
6/3/2016,210.28,11.82
6/6/2016,211.35,12.04
6/7/2016,211.68,12.22
6/8/2016,212.37,12.43
6/9/2016,212.08,12.25
6/10/2016,210.07,11.87
6/13/2016,208.45,11.76
6/14/2016,208.04,11.73
6/15/2016,207.75,11.47
6/16/2016,208.37,11.14
6/17/2016,206.52,11.66
6/20/2016,207.85,11.91
6/21/2016,208.44,11.89
6/22/2016,208.1,11.74
6/23/2016,210.81,11.98
6/24/2016,203.13,11.4
6/27/2016,199.6,11.19
6/28/2016,203.2,11.47
6/29/2016,206.66,11.79
6/30/2016,209.47,11.57
7/1/2016,209.92,11.78
7/5/2016,208.41,11.18
7/6/2016,209.66,11.33
7/7/2016,209.53,10.82
7/8/2016,212.65,10.83
7/11/2016,213.4,10.65
7/12/2016,214.95,11.19
7/13/2016,214.92,10.75
7/14/2016,216.12,10.87
7/15/2016,215.83,10.99
7/18/2016,216.41,10.82
7/19/2016,216.19,10.7
7/20/2016,217.09,10.73
7/21/2016,216.26,10.49
7/22/2016,217.24,10.42
7/25/2016,216.65,10.13
7/26/2016,216.75,10.08
7/27/2016,216.52,9.9
7/28/2016,216.77,9.67
7/29/2016,217.12,9.76
8/1/2016,216.94,9.41
8/2/2016,215.55,9.33
8/3/2016,216.18,9.69
8/4/2016,216.41,9.84
8/5/2016,218.18,9.86
8/8/2016,218.05,10.1
8/9/2016,218.18,10.07
8/10/2016,217.64,9.77
8/11/2016,218.65,10.21
8/12/2016,218.46,10.5
8/15/2016,219.09,10.76
8/16/2016,217.96,10.92
8/17/2016,218.37,10.99
8/18/2016,218.86,11.3
8/19/2016,218.54,11.34
8/22/2016,218.53,10.97
8/23/2016,218.97,11.09
8/24/2016,217.85,10.82
8/25/2016,217.7,10.95
8/26/2016,217.29,10.95
8/29/2016,218.36,10.85
8/30/2016,218,10.73
8/31/2016,217.38,10.36
9/1/2016,217.39,10.06
9/2/2016,218.37,10.24
9/6/2016,219.03,10.39
9/7/2016,219.01,10.52
9/8/2016,218.51,10.96
9/9/2016,213.28,10.59
9/12/2016,216.34,10.64
9/13/2016,213.23,10.37
9/14/2016,213.15,10.09
9/15/2016,215.28,10.14
9/16/2016,213.37,10
9/19/2016,213.41,9.98
9/20/2016,213.42,10.07
9/21/2016,215.82,10.4
9/22/2016,217.18,10.53
9/23/2016,215.99,10.19
9/26/2016,214.24,10.43
9/27/2016,215.57,10.15
9/28/2016,216.64,10.65
9/29/2016,214.68,10.87
9/30/2016,216.3,10.93
10/3/2016,215.78,11.1
10/4/2016,214.68,11.09
10/5/2016,215.63,11.35
10/6/2016,215.78,11.51
10/7/2016,215.04,11.33
10/10/2016,216.16,11.67
10/11/2016,213.43,11.58
10/12/2016,213.71,11.43
10/13/2016,213.01,11.49
10/14/2016,213.12,11.44
10/17/2016,212.38,11.37
10/18/2016,213.71,11.45
10/19/2016,214.28,11.66
10/20/2016,213.88,11.43
10/21/2016,213.98,11.48
10/24/2016,214.89,11.43
10/25/2016,214.17,11.24
10/26/2016,213.74,11.09
10/27/2016,213.17,11.21
10/28/2016,212.54,11.01
10/31/2016,212.55,10.53
11/1/2016,211.01,10.57
